"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/01/04","14.5","14.6","14.45","14.55","0.05000000000000071","0.34","173.247"
"2023/01/03","14.5","14.55","14.4","14.5","0","0.00","171.523"
"2022/12/30","14.55","14.55","14.45","14.5","0","0.00","441.614"
"2022/12/29","14.45","14.55","14.4","14.5","0","0.00","320.063"
"2022/12/28","14.5","14.6","14.45","14.5","0","0.00","279.3"
"2022/12/27","14.65","14.65","14.5","14.5","-0.09999999999999964","-0.68","377.244"
"2022/12/26","14.6","14.65","14.55","14.6","0.049999999999998934","0.34","123.069"
"2022/12/23","14.5","14.65","14.5","14.55","0","0.00","290.24"
"2022/12/22","14.5","14.6","14.45","14.55","0.05000000000000071","0.34","294.645"
"2022/12/21","14.45","14.6","14.45","14.5","0.05000000000000071","0.35","391.314"
"2022/12/20","14.5","14.6","14.45","14.45","-0.05000000000000071","-0.34","585.379"
"2022/12/19","14.45","14.6","14.45","14.5","-0.05000000000000071","-0.34","285.755"
"2022/12/16","14.5","14.6","14.4","14.55","0.05000000000000071","0.34","447.836"
"2022/12/15","14.55","14.55","14.5","14.5","0","0.00","387.595"
"2022/12/14","14.65","14.7","14.5","14.5","-0.05000000000000071","-0.34","639.347"
"2022/12/13","14.7","14.7","14.5","14.55","-0.049999999999998934","-0.34","570.936"
"2022/12/12","14.5","14.7","14.5","14.6","-0.09999999999999964","-0.68","408.886"
"2022/12/09","14.7","14.75","14.65","14.7","0.049999999999998934","0.34","292.737"
"2022/12/08","14.7","14.75","14.6","14.65","-0.09999999999999964","-0.68","474.95"
"2022/12/07","14.8","14.85","14.75","14.75","-0.05000000000000071","-0.34","392.444"
"2022/12/06","15","15","14.8","14.8","-0.1999999999999993","-1.33","602.121"
"2022/12/05","14.85","15","14.7","15","0","0.00","551.925"
"2022/12/02","15.05","15.05","14.9","15","-0.05000000000000071","-0.33","380.467"
"2022/12/01","15.2","15.2","14.9","15.05","-0.09999999999999964","-0.66","644.126"
"2022/11/30","14.8","15.2","14.8","15.15","0.34999999999999964","2.36","719.725"
"2022/11/29","14.8","14.8","14.7","14.8","0","0.00","240.476"
"2022/11/28","14.8","14.8","14.65","14.8","-0.049999999999998934","-0.34","386.235"
"2022/11/25","14.9","14.9","14.75","14.85","-0.05000000000000071","-0.34","439.979"
"2022/11/24","14.8","14.9","14.75","14.9","0.15000000000000036","1.02","591.808"
"2022/11/23","14.65","14.75","14.6","14.75","0.15000000000000036","1.03","426.138"
"2022/11/22","14.6","14.65","14.45","14.6","0.049999999999998934","0.34","400.972"
"2022/11/21","14.55","14.55","14.45","14.55","0","0.00","339.375"
"2022/11/18","14.4","14.55","14.4","14.55","0.10000000000000142","0.69","347.258"
"2022/11/17","14.5","14.5","14.4","14.45","-0.05000000000000071","-0.34","449.006"
"2022/11/16","14.65","14.65","14.45","14.5","-0.15000000000000036","-1.02","735.417"
"2022/11/15","14.6","14.7","14.45","14.65","-0.049999999999998934","-0.34","1370.665"
"2022/11/14","14.65","14.7","14.6","14.7","0.049999999999998934","0.34","816.248"
"2022/11/11","14.75","14.9","14.6","14.65","-0.049999999999998934","-0.34","748.214"
"2022/11/10","14.8","14.85","14.65","14.7","-0.15000000000000036","-1.01","581.816"
"2022/11/09","14.8","14.85","14.65","14.85","0.15000000000000036","1.02","563.416"
"2022/11/08","14.65","14.75","14.65","14.7","0.049999999999998934","0.34","440.272"
"2022/11/07","14.45","14.65","14.4","14.65","0.25","1.74","603.804"
"2022/11/04","14.25","14.4","14.2","14.4","0.15000000000000036","1.05","286.769"
"2022/11/03","14.3","14.35","14.2","14.25","-0.05000000000000071","-0.35","225.975"
"2022/11/02","14.3","14.4","14.25","14.3","0.05000000000000071","0.35","388.943"
"2022/11/01","14.3","14.3","14.15","14.25","0.05000000000000071","0.35","332.302"
"2022/10/31","14.1","14.25","14.05","14.2","0.09999999999999964","0.71","374.795"
"2022/10/28","14.15","14.3","14.1","14.1","-0.20000000000000107","-1.40","242.481"
"2022/10/27","14.1","14.3","14.05","14.3","0.3000000000000007","2.14","642.551"
"2022/10/26","14.05","14.1","13.9","14","0.09999999999999964","0.72","529.544"
"2022/10/25","14.2","14.2","13.9","13.9","-0.25","-1.77","950.729"
"2022/10/24","14.15","14.2","14","14.15","0.09999999999999964","0.71","634.205"
"2022/10/21","13.95","14.2","13.85","14.05","0.10000000000000142","0.72","702.941"
"2022/10/20","14.3","14.3","13.7","13.95","-0.3500000000000014","-2.45","6908.497"
"2022/10/19","14.35","14.5","14.2","14.3","-0.09999999999999964","-0.69","549.837"
"2022/10/18","14.25","14.45","14.25","14.4","0.15000000000000036","1.05","841.754"
"2022/10/17","14.3","14.35","14.15","14.25","-0.1999999999999993","-1.38","661.033"
"2022/10/14","14.35","14.55","14.35","14.45","0.14999999999999858","1.05","471.363"
"2022/10/13","14.55","14.55","14.25","14.3","-0.25","-1.72","940.193"
"2022/10/12","14.5","14.6","14.4","14.55","0.05000000000000071","0.34","545.911"
"2022/10/11","14.7","14.7","14.4","14.5","-0.25","-1.69","1113.998"
"2022/10/07","14.6","14.75","14.55","14.75","0.09999999999999964","0.68","878.147"
"2022/10/06","14.75","14.8","14.6","14.65","-0.09999999999999964","-0.68","554.932"
"2022/10/05","14.65","14.85","14.65","14.75","0.09999999999999964","0.68","608.751"
"2022/10/04","14.55","14.75","14.55","14.65","0.15000000000000036","1.03","489.808"
"2022/10/03","14.55","14.7","14.4","14.5","-0.25","-1.69","551.582"
"2022/09/30","14.5","14.8","14.4","14.75","0.3000000000000007","2.08","1482.074"
"2022/09/29","14.5","14.6","14.4","14.45","-0.05000000000000071","-0.34","1141.198"
"2022/09/28","14.8","14.85","14.4","14.5","-0.25","-1.69","1807.856"
"2022/09/27","15.05","15.05","14.7","14.75","-0.3000000000000007","-1.99","1989.942"
"2022/09/26","15.3","15.3","15","15.05","-0.25","-1.63","1175.962"
"2022/09/23","15.5","15.5","15.25","15.3","-0.09999999999999964","-0.65","1030.29"
"2022/09/22","15.5","15.5","15.25","15.4","-0.09999999999999964","-0.65","1007.576"
"2022/09/21","15.55","15.65","15.5","15.5","-0.05000000000000071","-0.32","991.699"
"2022/09/20","15.7","15.75","15.5","15.55","-0.049999999999998934","-0.32","1509.162"
"2022/09/19","15.65","15.8","15.6","15.6","0.049999999999998934","0.32","2413.784"
"2022/09/16","16.15","16.3","15.55","15.55","-0.5999999999999979","-3.72","12187.944"
"2022/09/15","16.2","16.3","16.1","16.15","-0.05000000000000071","-0.31","1264.858"
"2022/09/14","16.3","16.3","16.1","16.2","-0.1999999999999993","-1.22","1621.686"
"2022/09/13","16.6","16.65","16.35","16.4","-0.20000000000000284","-1.20","1085.963"
"2022/09/12","16.45","16.65","16.3","16.6","0.20000000000000284","1.22","1064.85"
"2022/09/08","16.3","16.55","16.2","16.4","0.09999999999999787","0.61","958.036"
"2022/09/07","16.35","16.45","16.15","16.3","-0.25","-1.51","974.467"
"2022/09/06","16.35","16.6","16.35","16.55","0","0.00","1168.63"
"2022/09/05","16.25","16.6","16.25","16.55","0.25","1.53","1077.07"
"2022/09/02","16.15","16.3","16.15","16.3","0.15000000000000213","0.93","564.886"
"2022/09/01","16.2","16.25","16.05","16.15","-0.10000000000000142","-0.62","944.996"
"2022/08/31","16.35","16.4","16.2","16.25","-0.10000000000000142","-0.61","335.771"
"2022/08/30","16.2","16.4","16.2","16.35","-0.04999999999999716","-0.30","794.131"
"2022/08/29","16.4","16.5","16.25","16.4","-0.10000000000000142","-0.61","1021.968"
"2022/08/26","16.45","16.55","16.4","16.5","0.10000000000000142","0.61","732.449"
"2022/08/25","16.35","16.5","16.35","16.4","0.09999999999999787","0.61","918.725"
"2022/08/24","16.3","16.5","16.25","16.3","0.05000000000000071","0.31","699.924"
