"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/01/04","18.6","18.65","18.5","18.6","0.10000000000000142","0.54","120.01"
"2023/01/03","18.6","18.6","18.35","18.5","0.05000000000000071","0.27","48.038"
"2022/12/30","18.7","18.7","18.45","18.45","0","0.00","104.019"
"2022/12/29","18.55","18.6","18.35","18.45","0.05000000000000071","0.27","161.088"
"2022/12/28","18.65","18.7","18.35","18.4","-0.25","-1.34","194.075"
"2022/12/27","18.65","18.7","18.55","18.65","0.04999999999999716","0.27","80.02"
"2022/12/26","18.4","18.7","18.4","18.6","0.10000000000000142","0.54","72.015"
"2022/12/23","18.4","18.55","18.35","18.5","-0.10000000000000142","-0.54","147.687"
"2022/12/22","18.55","18.6","18.45","18.6","0.20000000000000284","1.09","184.758"
"2022/12/21","18.65","18.65","18.35","18.4","0","0.00","135.014"
"2022/12/20","18.55","18.75","18.3","18.4","-0.25","-1.34","244.106"
"2022/12/19","18.55","18.75","18.55","18.65","0.09999999999999787","0.54","175.006"
"2022/12/16","18.6","18.7","18.45","18.55","-0.1999999999999993","-1.07","234.016"
"2022/12/15","18.85","18.85","18.7","18.75","-0.05000000000000071","-0.27","130.004"
"2022/12/14","18.9","18.9","18.7","18.8","0","0.00","190.784"
"2022/12/13","18.95","18.95","18.7","18.8","0","0.00","152.126"
"2022/12/12","18.9","18.9","18.7","18.8","0","0.00","161.571"
"2022/12/09","18.9","18.9","18.7","18.8","0.05000000000000071","0.27","96.016"
"2022/12/08","18.85","18.95","18.7","18.75","0","0.00","157.104"
"2022/12/07","19","19.2","18.7","18.75","-0.1999999999999993","-1.06","432.551"
"2022/12/06","18.95","19.3","18.85","18.95","0.1999999999999993","1.07","677.934"
"2022/12/05","18.8","18.9","18.7","18.75","0","0.00","305.632"
"2022/12/02","18.8","18.85","18.7","18.75","-0.05000000000000071","-0.27","192.079"
"2022/12/01","18.8","18.8","18.7","18.8","0.10000000000000142","0.53","272.662"
"2022/11/30","18.55","18.8","18.45","18.7","0.1999999999999993","1.08","279.989"
"2022/11/29","18.45","18.55","18.2","18.5","0.1999999999999993","1.09","212.105"
"2022/11/28","18.4","18.4","18","18.3","-0.09999999999999787","-0.54","432.886"
"2022/11/25","18.85","18.85","18.35","18.4","-0.3000000000000007","-1.60","669.486"
"2022/11/24","19","19.05","18.65","18.7","-0.15000000000000213","-0.80","217.15"
"2022/11/23","19.15","19.15","18.85","18.85","-0.09999999999999787","-0.53","294.926"
"2022/11/22","18.75","19.1","18.6","18.95","0.3000000000000007","1.61","775.541"
"2022/11/21","18.7","18.75","18.55","18.65","0.04999999999999716","0.27","127.639"
"2022/11/18","18.65","18.65","18.5","18.6","0","0.00","175.052"
"2022/11/17","18.5","18.6","18.35","18.6","0.3000000000000007","1.64","228.395"
"2022/11/16","18.6","18.6","18.3","18.3","-0.1999999999999993","-1.08","133.145"
"2022/11/15","18.6","18.6","18.4","18.5","0.05000000000000071","0.27","146.249"
"2022/11/14","18.5","18.5","18.3","18.45","0.09999999999999787","0.54","202.036"
"2022/11/11","18.8","18.8","18.3","18.35","-0.1999999999999993","-1.08","321.25"
