"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/01/04","25.9","26.1","25.7","25.7","-0.05000000000000071","-0.19","529.019"
"2023/01/03","25.85","26.15","25.2","25.75","0.25","0.98","670.089"
"2022/12/30","26.5","26.5","25.5","25.5","-0.3999999999999986","-1.54","794.519"
"2022/12/29","25.95","26.35","25","25.9","0","0.00","1062.858"
"2022/12/28","26.9","27.2","25.85","25.9","-0.7000000000000028","-2.63","901.411"
"2022/12/27","27.35","27.4","26.6","26.6","-0.3999999999999986","-1.48","651.99"
"2022/12/26","27.3","27.6","27","27","-0.3500000000000014","-1.28","931.043"
"2022/12/23","26.25","28","26.25","27.35","0.75","2.82","1521.061"
"2022/12/22","27.6","27.75","26.05","26.6","-0.6999999999999993","-2.56","3298.155"
"2022/12/21","25.9","28.65","25.9","27.3","1.25","4.80","6474.164"
"2022/12/20","26.8","27.4","25.8","26.05","-0.8000000000000007","-2.98","1724.136"
"2022/12/19","26.9","27.6","26.85","26.85","-0.25","-0.92","1067.855"
"2022/12/16","28.35","28.35","27.05","27.1","-1.3499999999999979","-4.75","1388.917"
"2022/12/15","28.15","28.95","28.15","28.45","0.25","0.89","1045.523"
"2022/12/14","28.1","28.85","28.1","28.2","0.09999999999999787","0.36","1614.636"
"2022/12/13","29.5","29.5","28","28.1","-0.8999999999999986","-3.10","1698.24"
"2022/12/12","29.5","29.85","28.4","29","-1","-3.33","3051.668"
"2022/12/09","30.9","31","30","30","-0.3000000000000007","-0.99","2465.85"
"2022/12/08","29.7","32","29.7","30.3","0.8000000000000007","2.71","9268.051"
"2022/12/07","30.35","31","29.35","29.5","-0.8500000000000014","-2.80","3405.207"
"2022/12/06","31.1","32","30.2","30.35","-1.3499999999999979","-4.26","4215.058"
"2022/12/05","33.65","34","31.5","31.7","-1.0000000000000036","-3.06","18443.934"
"2022/12/02","30.1","32.7","30.1","32.7","2.950000000000003","9.92","6586.833"
"2022/12/01","29.45","30.6","29","29.75","0.8999999999999986","3.12","5403.576"
"2022/11/30","29.4","29.75","28.85","28.85","-0.5","-1.70","2975.666"
"2022/11/29","31.5","31.5","29.2","29.35","-1.0499999999999972","-3.45","6440.838"
"2022/11/28","29.3","30.75","28.8","30.4","1.0999999999999979","3.75","6513.253"
"2022/11/25","29.35","30.9","29.3","29.3","-0.05000000000000071","-0.17","6862.687"
"2022/11/24","29.65","30.3","29.05","29.35","-0.14999999999999858","-0.51","3836.627"
"2022/11/23","30.8","31.2","29.5","29.5","-1.1000000000000014","-3.59","6315.606"
"2022/11/22","31.5","33.25","30.6","30.6","-1.25","-3.92","17886.303"
"2022/11/21","31.2","32.85","29.25","31.85","1.0500000000000007","3.41","37211.217"
"2022/11/18","28.2","30.8","28.1","30.8","2.8000000000000007","10.00","8407.853"
"2022/11/17","27.7","28.95","27.25","28","0.14999999999999858","0.54","9308.255"
"2022/11/16","26.6","28.8","26.35","27.85","1.4500000000000028","5.49","13663.705"
"2022/11/15","26.95","27.3","26.2","26.4","-0.5500000000000007","-2.04","3646.459"
"2022/11/14","27.45","28","26.7","26.95","-0.25","-0.92","4433.234"
"2022/11/11","29.15","29.4","26.9","27.2","-0.9000000000000021","-3.20","8995.543"
"2022/11/10","28.1","30.2","27.95","28.1","-0.4499999999999993","-1.58","10730.96"
"2022/11/09","29.5","30.45","27.9","28.55","0.10000000000000142","0.35","12270.557"
"2022/11/08","30","30.85","28.05","28.45","-0.5500000000000007","-1.90","19970.548"
"2022/11/07","26.65","29","26.65","29","2.6000000000000014","9.85","10355.234"
"2022/11/04","27.8","28","25.55","26.4","-0.3500000000000014","-1.31","30437.269"
"2022/11/03","25.05","26.75","25","26.75","2.3999999999999986","9.86","5475.203"
"2022/11/02","22.4","24.35","22.15","24.35","2.200000000000003","9.93","9280.688"
"2022/11/01","21","23.1","20.7","22.15","1.1499999999999986","5.48","14261.822"
"2022/10/31","20.4","21.55","20.25","21","1.1499999999999986","5.79","7353.261"
"2022/10/28","21.05","21.45","19.6","19.85","-1.5","-7.03","5867.349"
"2022/10/27","20.2","21.6","19.5","21.35","1.1500000000000021","5.69","8782.783"
"2022/10/26","20.05","20.85","20.05","20.2","0.5","2.54","10522.117"
"2022/10/25","20.35","20.4","19.5","19.7","-0.75","-3.67","5349.792"
"2022/10/24","20.85","21.75","20.45","20.45","0.34999999999999787","1.74","11458.724"
"2022/10/21","21.5","22.35","20.05","20.1","-1.2999999999999972","-6.07","15168.519"
"2022/10/20","23.85","23.85","21","21.4","-0.8000000000000007","-3.60","26628.438"
"2022/10/19","20.8","22.2","20.8","22.2","2","9.90","6276.755"
"2022/10/18","20.25","21.1","19.6","20.2","0.25","1.25","10581.988"
"2022/10/17","18.3","20.7","18.1","19.95","0.8000000000000007","4.18","14434.06"
"2022/10/14","18.2","19.15","18.05","19.15","1.6999999999999993","9.74","4974.598"
"2022/10/13","18","18.6","17.25","17.45","-0.5500000000000007","-3.06","8671.973"
"2022/10/12","16.85","18","16.6","18","1.6000000000000014","9.76","1928.16"
"2022/10/11","16.9","16.9","16.3","16.4","-0.9500000000000028","-5.48","832.357"
"2022/10/07","18.35","18.35","17.3","17.35","-0.8999999999999986","-4.93","1361.284"
