"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/01/04","15.9","16.45","15.7","16.3","0.6500000000000004","4.15","10530.737"
"2023/01/03","15.2","15.7","15.1","15.65","0.5500000000000007","3.64","3009.614"
"2022/12/30","15.4","15.4","15.1","15.1","-0.09999999999999964","-0.66","1514.894"
"2022/12/29","15.1","15.2","14.9","15.2","0.049999999999998934","0.33","2075.211"
"2022/12/28","15.5","15.65","15.05","15.15","-0.4499999999999993","-2.88","3139.988"
"2022/12/27","15.8","15.9","15.45","15.6","-0.05000000000000071","-0.32","2288.727"
"2022/12/26","15.8","15.8","15.55","15.65","0.05000000000000071","0.32","1183.254"
"2022/12/23","15.6","15.7","15.3","15.6","-0.20000000000000107","-1.27","2155.886"
"2022/12/22","15.9","15.95","15.75","15.8","0.15000000000000036","0.96","2124.893"
"2022/12/21","15.65","15.9","15.6","15.65","0.09999999999999964","0.64","2694.533"
"2022/12/20","16.2","16.4","15.4","15.55","-0.5999999999999979","-3.72","6011.721"
"2022/12/19","16.7","16.7","16.15","16.15","-0.6500000000000021","-3.87","5588.834"
"2022/12/16","17","17.15","16.8","16.8","-0.5","-2.89","5162.303"
"2022/12/15","17.1","17.5","17.1","17.3","0.25","1.47","7144.285"
"2022/12/14","17","17.15","16.9","17.05","0.25","1.49","3135.196"
"2022/12/13","17.2","17.3","16.8","16.8","-0.3000000000000007","-1.75","3896.061"
"2022/12/12","16.85","17.1","16.8","17.1","0.10000000000000142","0.59","2671.621"
"2022/12/09","17.5","17.6","17","17","-0.5500000000000007","-3.13","8550.846"
"2022/12/08","17.2","17.7","17.05","17.55","0.5500000000000007","3.24","7697.998"
"2022/12/07","17.35","17.5","16.8","17","-0.3500000000000014","-2.02","7772.542"
"2022/12/06","17.5","17.8","17.35","17.35","-0.14999999999999858","-0.86","7378.578"
"2022/12/05","17.6","17.75","17.35","17.5","-0.05000000000000071","-0.28","6112.95"
"2022/12/02","17.85","18.05","17.55","17.55","-0.34999999999999787","-1.96","10171.683"
"2022/12/01","17.75","17.9","17.35","17.9","0.29999999999999716","1.70","17513.274"
"2022/11/30","18","18.45","17.4","17.6","-0.34999999999999787","-1.95","39397.972"
"2022/11/29","16.35","17.95","16.25","17.95","1.5999999999999979","9.79","40201.018"
"2022/11/28","16.05","16.45","15.95","16.35","0.25","1.55","3628.486"
"2022/11/25","16.4","16.8","16.1","16.1","-0.14999999999999858","-0.92","7876.353"
"2022/11/24","16.45","16.5","16.15","16.25","0","0.00","3744.618"
"2022/11/23","16.45","16.55","16.2","16.25","-0.10000000000000142","-0.61","3515.747"
"2022/11/22","16.75","16.8","16.3","16.35","-0.29999999999999716","-1.80","4538.307"
"2022/11/21","16.9","17.25","16.6","16.65","-0.15000000000000213","-0.89","11156.47"
"2022/11/18","16.5","16.95","16.35","16.8","0.05000000000000071","0.30","16644.871"
"2022/11/17","15.7","16.75","15.7","16.75","1.1500000000000004","7.37","19712.77"
"2022/11/16","16","16.05","15.6","15.6","-0.34999999999999964","-2.19","3662.532"
"2022/11/15","16","16","15.5","15.95","-0.05000000000000071","-0.31","6842.736"
"2022/11/14","15.9","16.05","15.75","16","0.1999999999999993","1.27","4505.747"
"2022/11/11","16.6","16.65","15.8","15.8","-0.34999999999999787","-2.17","9728.857"
"2022/11/10","16.4","16.65","16.05","16.15","-0.8500000000000014","-5.00","13187.775"
"2022/11/09","17.25","17.4","16.9","17","0.10000000000000142","0.59","7356.549"
"2022/11/08","17.25","17.45","16.85","16.9","-0.15000000000000213","-0.88","11004.932"
"2022/11/07","17.1","17.4","16.75","17.05","0.40000000000000213","2.40","16373.281"
"2022/11/04","15.9","16.65","15.85","16.65","0.5499999999999972","3.42","10581.234"
"2022/11/03","15.55","16.2","15.4","16.1","0.2500000000000018","1.58","9406.486"
"2022/11/02","15.35","15.9","15.35","15.85","0.5","3.26","9585.713"
"2022/11/01","14.95","15.45","14.95","15.35","0.40000000000000036","2.68","5269.256"
"2022/10/31","15","15.35","14.95","14.95","0.34999999999999964","2.40","6665.726"
"2022/10/28","15.2","15.35","14.55","14.6","-0.7000000000000011","-4.58","6668.824"
"2022/10/27","15","15.35","14.95","15.3","0.45000000000000107","3.03","4464.139"
"2022/10/26","15.45","15.5","14.85","14.85","-0.45000000000000107","-2.94","7240.648"
"2022/10/25","15.65","15.8","15.3","15.3","-0.25","-1.61","4318.226"
"2022/10/24","15.8","16.1","15.55","15.55","0.20000000000000107","1.30","5466.293"
"2022/10/21","15.85","15.9","15.3","15.35","-0.5","-3.15","6412.95"
"2022/10/20","15.85","16.2","15.6","15.85","-0.20000000000000107","-1.25","6933.487"
"2022/10/19","16.45","16.8","16.05","16.05","-0.3999999999999986","-2.43","7996.88"
"2022/10/18","16.65","16.75","16.3","16.45","0.14999999999999858","0.92","7447.352"
"2022/10/17","15.85","16.35","15.5","16.3","-0.09999999999999787","-0.61","8527.833"
"2022/10/14","16","16.55","15.9","16.4","1.1999999999999993","7.89","12186.603"
"2022/10/13","16.4","16.45","15.15","15.2","-1.1999999999999993","-7.32","12269.592"
"2022/10/12","16.2","16.65","15.95","16.4","0.29999999999999716","1.86","10388.296"
"2022/10/11","16.6","16.95","16","16.1","-1.0999999999999979","-6.40","12676.033"
"2022/10/07","17.5","17.95","17.05","17.2","0.25","1.47","37905.039"
"2022/10/06","17.15","17.4","16.7","16.95","0.14999999999999858","0.89","9581.437"
"2022/10/05","17.3","17.65","16.75","16.8","-0.34999999999999787","-2.04","18650.638"
"2022/10/04","16.7","17.4","16.35","17.15","0.9499999999999993","5.86","17980.904"
"2022/10/03","15.85","16.35","15.8","16.2","0.05000000000000071","0.31","6068.309"
"2022/09/30","15.65","16.25","15.3","16.15","0.04999999999999716","0.31","9745.814"
"2022/09/29","15.95","16.5","15.95","16.1","0.7000000000000011","4.55","10846.46"
"2022/09/28","16.7","16.9","15.4","15.4","-1.4999999999999982","-8.88","14256.9"
"2022/09/27","16.65","16.9","16.3","16.9","0.75","4.64","10320.568"
"2022/09/26","16.9","17","15.95","16.15","-1.1000000000000014","-6.38","15695.985"
"2022/09/23","18.1","18.15","17.2","17.25","-0.8000000000000007","-4.43","13038.578"
"2022/09/22","17.5","18.1","17.45","18.05","0.1999999999999993","1.12","7226.675"
"2022/09/21","18.05","18.35","17.75","17.85","-0.25","-1.38","9542.596"
"2022/09/20","17.8","18.3","17.8","18.1","0.40000000000000213","2.26","9944.4"
"2022/09/19","17.85","17.95","17.5","17.7","-0.1999999999999993","-1.12","12272.421"
"2022/09/16","18.15","18.55","17.8","17.9","-0.5","-2.72","13862.242"
"2022/09/15","18.15","19","18.1","18.4","0.25","1.38","33820.185"
"2022/09/14","17.65","18.25","17.35","18.15","-0.20000000000000284","-1.09","14689.812"
"2022/09/13","18.85","19.25","18.25","18.35","-0.4499999999999993","-2.39","32856.88"
"2022/09/12","18.45","18.9","17.85","18.8","0.6000000000000014","3.30","34032.109"
"2022/09/08","17.65","18.6","17.6","18.2","1.0999999999999979","6.43","43221.581"
"2022/09/07","17.7","17.75","17.1","17.1","-0.1999999999999993","-1.16","18554.431"
"2022/09/06","18.2","18.25","17.05","17.3","-0.5999999999999979","-3.35","21288.601"
"2022/09/05","18.35","18.75","17.65","17.9","-0.45000000000000284","-2.45","18962.308"
"2022/09/02","18.35","18.8","18.25","18.35","0","0.00","16647.826"
"2022/09/01","18.65","19","18.15","18.35","-0.3999999999999986","-2.13","18659.307"
