"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/01/04","205.5","207","205.5","207","1.5","0.73","8.761"
"2023/01/03","205.5","205.5","204","205.5","0.5","0.24","7.686"
"2022/12/30","205","207","205","205","-1","-0.49","6.463"
"2022/12/29","208.5","208.5","204","206","-3.5","-1.67","10.506"
"2022/12/28","208.5","209.5","208.5","209.5","0","0.00","6.028"
"2022/12/27","209","209.5","208.5","209.5","1","0.48","4.859"
"2022/12/26","210","210","208.5","208.5","1.5","0.72","6.649"
"2022/12/23","207","207","207","207","0","0.00","2.976"
"2022/12/22","213","213","207","207","1","0.49","14.762"
"2022/12/21","211","211","206","206","-2","-0.96","13.648"
"2022/12/20","210","216","208","208","0","0.00","25.599"
"2022/12/19","207","208","206.5","208","2.5","1.22","11.972"
"2022/12/16","204","206.5","203","205.5","0.5","0.24","12.967"
"2022/12/15","202.5","205","202.5","205","2","0.99","15.275"
"2022/12/14","203.5","203.5","202","203","0.5","0.25","5.58"
"2022/12/13","204","204","202","202.5","-0.5","-0.25","14.831"
"2022/12/12","203.5","203.5","202.5","203","0.5","0.25","10.433"
"2022/12/09","204.5","204.5","202","202.5","2","1.00","6.587"
"2022/12/08","200","200.5","199.5","200.5","0","0.00","7.63"
"2022/12/07","200.5","200.5","200.5","200.5","-0.5","-0.25","2.055"
"2022/12/06","201","201","198.5","201","-0.5","-0.25","7.747"
"2022/12/05","199.5","201.5","199.5","201.5","2","1.00","8.254"
"2022/12/02","195.5","199.5","195.5","199.5","0","0.00","3.876"
"2022/12/01","196","199.5","196","199.5","3.5","1.79","5.541"
"2022/11/30","193.5","196","193.5","196","3","1.55","6.219"
"2022/11/29","192.5","193","192.5","193","0","0.00","3.784"
"2022/11/28","191","193","191","193","2","1.05","5.693"
"2022/11/25","191","191","191","191","-1","-0.52","11.306"
"2022/11/24","191.5","192.5","191.5","192","0.5","0.26","13.037"
"2022/11/23","191.5","191.5","191.5","191.5","0","0.00","7.33"
"2022/11/22","191.5","191.5","191","191.5","0.5","0.26","5.081"
"2022/11/21","192","192","190","191","-1","-0.52","17.033"
"2022/11/18","191.5","192","191.5","192","1","0.52","12.368"
"2022/11/17","190","191","190","191","1","0.53","9.501"
"2022/11/16","191","191","190","190","-0.5","-0.26","11.543"
"2022/11/15","190","191","190","190.5","0.5","0.26","12.357"
"2022/11/14","191","191.5","190","190","-0.5","-0.26","19.202"
"2022/11/11","192","192.5","190.5","190.5","-1.5","-0.78","18.894"
"2022/11/10","192.5","192.5","192","192","0","0.00","5.706"
"2022/11/09","191.5","192","191.5","192","0","0.00","9.175"
"2022/11/08","191.5","192.5","191.5","192","1","0.52","15.743"
"2022/11/07","191","191","191","191","0.5","0.26","5.873"
