"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/01/04","32.1","32.35","31.55","31.55","-0.4499999999999993","-1.41","452.943"
"2023/01/03","33","33.2","32","32","-0.7000000000000028","-2.14","848.06"
"2022/12/30","32.5","32.9","32.15","32.7","0.10000000000000142","0.31","812.434"
"2022/12/29","32","32.9","32","32.6","0.8000000000000007","2.52","1698.673"
"2022/12/28","32.6","32.75","31.65","31.8","-0.3000000000000007","-0.93","654.533"
"2022/12/27","32.3","32.5","31.7","32.1","-0.19999999999999574","-0.62","683.927"
"2022/12/26","32.2","33","31.9","32.3","0.44999999999999574","1.41","2380.617"
"2022/12/23","31.8","33.4","31.75","31.85","0.25","0.79","3013.983"
"2022/12/22","31.3","31.8","31.05","31.6","-0.25","-0.78","914.748"
"2022/12/21","32.5","32.5","30.5","31.85","0.45000000000000284","1.43","2520.338"
"2022/12/20","30.85","33.4","30.85","31.4","0.6999999999999993","2.28","8227.095"
"2022/12/19","30.5","33.05","30.5","30.7","0.25","0.82","3188.299"
"2022/12/16","30.6","30.8","30.2","30.45","-0.6500000000000021","-2.09","245.235"
"2022/12/15","32","32","31.1","31.1","-0.5","-1.58","389.418"
"2022/12/14","31.1","31.65","30.75","31.6","0.5","1.61","517.285"
"2022/12/13","30.85","32.45","30.7","31.1","0.5500000000000007","1.80","1099.124"
"2022/12/12","31.15","31.55","30.35","30.55","-0.5","-1.61","370.955"
"2022/12/09","30","31.5","30","31.05","0.9499999999999993","3.16","729.334"
"2022/12/08","30.1","30.45","29.7","30.1","0","0.00","179.999"
"2022/12/07","30.55","30.9","29.8","30.1","-0.4499999999999993","-1.47","335.158"
"2022/12/06","31.45","31.85","30.45","30.55","-0.5999999999999979","-1.93","620.907"
"2022/12/05","31.05","31.65","31","31.15","0.14999999999999858","0.48","397.49"
"2022/12/02","30.7","31.5","30.7","31","0.3000000000000007","0.98","557.091"
"2022/12/01","30.85","31","30.3","30.7","0","0.00","476.285"
"2022/11/30","30.3","31.2","30","30.7","0.9499999999999993","3.19","1057.463"
"2022/11/29","29","30.35","28.7","29.75","0.5500000000000007","1.88","894.949"
"2022/11/28","29.5","30.1","29.1","29.2","0.25","0.86","1027.956"
"2022/11/25","30.8","31.15","28.95","28.95","-1.0500000000000007","-3.50","1078.094"
"2022/11/24","29.2","30.4","28.75","30","0.8999999999999986","3.09","809.559"
"2022/11/23","29.2","29.3","28.8","29.1","0.20000000000000284","0.69","171.472"
"2022/11/22","29.7","29.7","28.85","28.9","-0.6000000000000014","-2.03","209.798"
"2022/11/21","29.35","29.95","28.8","29.5","0.25","0.85","331.509"
"2022/11/18","29.7","30.05","29","29.25","-0.3999999999999986","-1.35","251.953"
"2022/11/17","29.1","30.1","29.1","29.65","0.5499999999999972","1.89","444.665"
"2022/11/16","29.05","29.6","29.05","29.1","0.05000000000000071","0.17","269.354"
"2022/11/15","29.45","29.75","28.75","29.05","-0.3999999999999986","-1.36","368.932"
"2022/11/14","28.85","29.65","28.6","29.45","0.5999999999999979","2.08","511.614"
"2022/11/11","29","29","28.4","28.85","0.5500000000000007","1.94","364.426"
