"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/01/04","28.35","28.7","28.25","28.25","0","0.00","875.168"
"2023/01/03","28.35","28.4","27.9","28.25","0.05000000000000071","0.18","574.637"
"2022/12/30","28.4","28.5","28.2","28.2","-0.15000000000000213","-0.53","513.507"
"2022/12/29","28.1","28.4","27.65","28.35","0.15000000000000213","0.53","1002.017"
"2022/12/28","28.7","28.75","28.2","28.2","-0.5500000000000007","-1.91","871.987"
"2022/12/27","28.6","28.9","28.5","28.75","0.3000000000000007","1.05","1346.426"
"2022/12/26","28.5","28.5","28.25","28.45","0.25","0.89","651.129"
"2022/12/23","28.1","28.7","27.9","28.2","-0.25","-0.88","1358.283"
"2022/12/22","28.1","28.9","28","28.45","0.6499999999999986","2.34","2178.668"
"2022/12/21","27.5","28","27.4","27.8","0.6000000000000014","2.21","1011.9"
"2022/12/20","27.5","27.8","27.1","27.2","-0.15000000000000213","-0.55","1168.339"
"2022/12/19","27.8","28.2","27.35","27.35","-0.5999999999999979","-2.15","1897.169"
"2022/12/16","27.8","28.3","27.7","27.95","-0.5500000000000007","-1.93","2063.533"
"2022/12/15","29.05","29.3","28.5","28.5","-0.14999999999999858","-0.52","4446.012"
"2022/12/14","27.85","28.8","27.85","28.65","0.6999999999999993","2.50","3858.357"
"2022/12/13","27.65","28.4","27.25","27.95","0.09999999999999787","0.36","4993.323"
"2022/12/12","28.7","28.75","27.55","27.85","-0.14999999999999858","-0.54","2442.426"
"2022/12/09","27.25","28.4","27.2","28","0.8999999999999986","3.32","5231.351"
"2022/12/08","27.4","27.45","27","27.1","-0.5499999999999972","-1.99","1621.298"
"2022/12/07","28.05","28.2","27.4","27.65","-0.40000000000000213","-1.43","1011.735"
"2022/12/06","28.7","29.1","28","28.05","-0.5","-1.75","1749.348"
"2022/12/05","28.7","28.9","28.5","28.55","-0.14999999999999858","-0.52","1463.647"
"2022/12/02","28.85","29","28.5","28.7","-0.4499999999999993","-1.54","2205.018"
"2022/12/01","29.05","29.15","28.25","29.15","0.4499999999999993","1.57","5017.496"
"2022/11/30","27","29","27","28.7","1.9499999999999993","7.29","9298.643"
"2022/11/29","26.75","26.95","26.5","26.75","0.25","0.94","1437.126"
"2022/11/28","26.2","26.6","26.05","26.5","0.14999999999999858","0.57","986.912"
"2022/11/25","26.7","27.1","26.3","26.35","-0.34999999999999787","-1.31","1514.981"
"2022/11/24","26.75","26.8","26.6","26.7","0.09999999999999787","0.38","777.228"
"2022/11/23","26.55","26.7","26.5","26.6","0","0.00","515.386"
"2022/11/22","26.95","26.95","26.55","26.6","-0.1999999999999993","-0.75","629.137"
"2022/11/21","26.8","26.9","26.45","26.8","0.3500000000000014","1.32","1045.779"
"2022/11/18","26.6","26.75","26.2","26.45","-0.05000000000000071","-0.19","1004.627"
"2022/11/17","26.45","26.7","26.4","26.5","0.25","0.95","1261.872"
"2022/11/16","26.9","26.9","26.25","26.25","-0.5500000000000007","-2.05","867.408"
"2022/11/15","26.85","26.85","26.35","26.8","-0.05000000000000071","-0.19","630.459"
"2022/11/14","26.1","26.95","26.1","26.85","0.75","2.87","1836.045"
"2022/11/11","26.45","26.6","26.1","26.1","-0.04999999999999716","-0.19","980.9"
"2022/11/10","25.9","26.2","25.9","26.15","0.04999999999999716","0.19","604"
"2022/11/09","26.25","26.45","26","26.1","0","0.00","664.627"
"2022/11/08","25.95","26.25","25.9","26.1","0.3000000000000007","1.16","862.862"
"2022/11/07","26.2","26.25","25.8","25.8","-0.25","-0.96","753.072"
"2022/11/04","25.55","26.1","25.35","26.05","0.5","1.96","1435.085"
"2022/11/03","25.25","25.75","24.95","25.55","0.3000000000000007","1.19","910.892"
"2022/11/02","25","25.45","25","25.25","0.3500000000000014","1.41","670.688"
"2022/11/01","24.75","25.15","24.55","24.9","0.04999999999999716","0.20","425.075"
"2022/10/31","25.45","25.45","24.85","24.85","-0.34999999999999787","-1.39","787.323"
"2022/10/28","25.1","25.45","25","25.2","0.09999999999999787","0.40","1645.263"
"2022/10/27","24.85","25.15","24.75","25.1","0.5","2.03","802.217"
"2022/10/26","24.4","24.85","24.05","24.6","0.3000000000000007","1.23","1174.555"
"2022/10/25","24.6","25.15","24.25","24.3","-0.3000000000000007","-1.22","663.322"
"2022/10/24","24.95","25.25","24.6","24.6","-0.34999999999999787","-1.40","793.723"
"2022/10/21","24.85","25","24.45","24.95","0.09999999999999787","0.40","1164.325"
"2022/10/20","24.4","24.85","23.6","24.85","0.3000000000000007","1.22","1361.751"
"2022/10/19","24.55","24.7","24.2","24.55","0.05000000000000071","0.20","1220.705"
"2022/10/18","24.3","24.6","24.05","24.5","0.5","2.08","788.696"
"2022/10/17","24.1","24.15","23.35","24","-0.4499999999999993","-1.84","1393.668"
"2022/10/14","23.9","24.5","23.85","24.45","0.8999999999999986","3.82","1476.603"
"2022/10/13","24.9","24.95","23.4","23.55","-1.1999999999999993","-4.85","2482.198"
"2022/10/12","25.55","25.6","24.6","24.75","-0.6499999999999986","-2.56","2802.358"
"2022/10/11","26.9","26.9","25.35","25.4","-2.5","-8.96","4876.075"
"2022/10/07","27.7","28","27.7","27.9","-0.05000000000000071","-0.18","933.95"
"2022/10/06","27.8","28","27.6","27.95","0.14999999999999858","0.54","1008.379"
"2022/10/05","28.45","28.45","27.75","27.8","-0.5500000000000007","-1.94","2213.67"
"2022/10/04","28.45","28.6","28.15","28.35","0.3000000000000007","1.07","935.496"
"2022/10/03","27.8","28.45","27.75","28.05","-0.3000000000000007","-1.06","1289.407"
"2022/09/30","27.55","28.35","26.85","28.35","0.40000000000000213","1.43","2075.414"
"2022/09/29","27.15","28.1","27.15","27.95","1.3000000000000007","4.88","1908.544"
"2022/09/28","28","28.15","26.15","26.65","-1.5","-5.33","3149.12"
"2022/09/27","27.65","28.3","27.65","28.15","0.5499999999999972","1.99","1882.49"
"2022/09/26","28.9","28.9","27.6","27.6","-1.5499999999999972","-5.32","3157.064"
"2022/09/23","29.55","29.8","28.7","29.15","-0.3500000000000014","-1.19","2998.95"
"2022/09/22","29.15","29.5","28.75","29.5","0.3500000000000014","1.20","2039.324"
"2022/09/21","29.2","29.6","28.95","29.15","0","0.00","2742.443"
"2022/09/20","29.45","29.5","29.05","29.15","-0.05000000000000071","-0.17","1671.813"
"2022/09/19","29.1","29.35","28.75","29.2","0.14999999999999858","0.52","2694.078"
"2022/09/16","29.05","29.3","28.8","29.05","0","0.00","2272.153"
"2022/09/15","29","29.2","28.7","29.05","0.10000000000000142","0.35","2522.522"
"2022/09/14","28.4","29","28.1","28.95","-0.05000000000000071","-0.17","3057.703"
"2022/09/13","28.85","29.25","28.7","29","0.5500000000000007","1.93","6603.517"
"2022/09/12","27.8","28.45","27.65","28.45","1","3.64","4344.908"
"2022/09/08","27","27.5","26.8","27.45","1.3499999999999979","5.17","2662.147"
"2022/09/07","26.4","26.45","26.05","26.1","-0.34999999999999787","-1.32","959.122"
"2022/09/06","26.95","26.95","26.4","26.45","-0.25","-0.94","653.346"
"2022/09/05","27.05","27.1","26.65","26.7","-0.25","-0.93","683.71"
"2022/09/02","27.05","27.25","26.9","26.95","-0.10000000000000142","-0.37","784.982"
